symbol,fiscal_year,dividend_pct
HBL,076-077,6.0
HBL,077-078,4.62
HBL,078-079,11.11
HDHPC,079-080,1.0
HDL,070-071,10.52
HDL,071-072,20.0
HDL,072-073,20.0
HDL,073-074,21.05
HDL,074-075,21.05
HDL,076-077,50.0
HDL,077-078,25.0
HDL,078-079,10.0
HDL,079-080,15.0
HDL,080-081,5.0
HDL,081-082,5.0
HEI,078-079,0.14
HEI,079-080,6.37
HEI,080-081,8.75
HEI,081-082,8.0
HIDCL,072-073,5.0
HIDCL,073-074,5.0
HIDCL,074-075,1.0
HIDCL,075-076,12.0
HIDCL,077-078,0.42
HIDCL,078-079,1.0
HIDCL,079-080,5.26
HIDCL,080-081,5.25
HIDCL,081-082,2.0
HLBSL,072-073,0.26
HLBSL,073-074,0.23
HLBSL,074-075,3.89
HLBSL,076-077,0.18
HLBSL,077-078,1.0
HLBSL,078-079,0.58
HLBSL,081-082,0.35
HLI,077-078,0.0
HLI,080-081,8.0
HLI,081-082,0.0
HLI,082-083,0.0
HPPL,082-083,1.0
HRL,079-080,0.21
HRL,080-081,0.24
HURJA,081-082,1.0
ICFC,066-067,15.0
ICFC,067-068,7.0
ICFC,068-069,8.42
ICFC,069-070,10.79
ICFC,070-071,0.74
ICFC,071-072,0.55
ICFC,072-073,2.0
ICFC,073-074,11.05
ICFC,074-075,8.0
ICFC,075-076,0.0
ICFC,076-077,4.5
ICFC,077-078,4.0
ICFC,078-079,5.0
ICFC,079-080,6.5
ICFC,080-081,5.26
ICFC,081-082,15.79
IGI,067-068,2.0
IGI,073-074,10.0
IGI,076-077,0.37
IGI,077-078,0.37
IGI,078-079,10.0
IGI,080-081,9.74
IGI,081-082,5.0
ILBS,075-076,0.0
ILBS,076-077,0.75
ILBS,077-078,1.46
ILBS,078-079,0.0
ILI,079-080,1.32
ILI,080-081,21.05
ILI,081-082,10.53
JBBL,067-068,8.5
JBBL,069-070,5.6
JBBL,071-072,0.47
JBBL,072-073,1.0
JBBL,074-075,8.4
JBBL,077-078,4.5
JBBL,078-079,3.8
JBLB,077-078,3.68
JBLB,078-079,0.71
JBLB,079-080,0.74
JBLB,080-081,0.74
JBLB,081-082,0.74
JFL,067-068,35.0
JFL,070-071,7.0
JFL,074-075,0.0
JFL,075-076,1.16
JFL,077-078,0.79
JOSHI,082-083,1.0
JSLBB,073-074,1.05
JSLBB,074-075,1.05
JSLBB,075-076,1.0
JSLBB,076-077,2.6
JSLBB,077-078,1.32
JSLBB,078-079,0.79
KBL,066-067,12.0
KBL,067-068,0.44
KBL,069-070,0.74
KBL,071-072,0.58
KBL,072-073,2.0
KBL,076-077,3.15
KBL,077-078,2.67
KBL,078-079,12.5
KBSH,075-076,5.25
KBSH,077-078,6.5
KBSH,078-079,8.5
KBSH,080-081,0.53
KBSH,081-082,0.53
KDL,081-082,0.26
KKHC,082-083,1.0
KMCDB,073-074,1.12
KMCDB,074-075,0.42
KMCDB,075-076,0.63
KMCDB,078-079,1.0
KMCDB,080-081,0.5
KMCDB,081-082,0.53
KPCL,077-078,0.79
KPCL,078-079,0.79
KPCL,079-080,0.53
KPCL,080-081,0.37
KPCL,081-082,0.37
KSBBL,067-068,15.0
KSBBL,068-069,15.0
KSBBL,069-070,6.0
KSBBL,070-071,1.11
KSBBL,073-074,6.5
KSBBL,074-075,8.0
KSBBL,075-076,0.0
KSBBL,076-077,0.23
KSBBL,077-078,0.97
KSBBL,078-079,0.23
KSBBL,080-081,5.0
KSBBL,081-082,5.79
LBBL,073-074,10.0
LBBL,075-076,0.0
LBBL,076-077,3.0
LBBL,077-078,0.68
LBBL,078-079,9.0
LBBL,079-080,4.5
LBBL,080-081,4.0
LEC,081-082,1.0
LICN,068-069,3.26
LICN,069-070,0.0
LICN,070-071,1.58
LICN,071-072,1.32
LICN,072-073,1.31
LICN,073-074,0.63
LICN,074-075,35.54
LICN,075-076,0.53
LICN,076-077,1.05
LICN,080-081,0.53
LICN,081-082,21.05
LLBS,071-072,0.0
LLBS,072-073,21.05
LLBS,073-074,16.32
LLBS,074-075,26.32
LLBS,075-076,0.0
LLBS,076-077,8.16
